category;search_tags;regex_pattern;original_skill
BI Tools;BI?IP;\bBIIP\b;BI Integrated Planner
BI Tools;BI?BW;\bBIBW\b;BI/BW
BI Tools;BO - Data Services (BODS);\b(B0\s?[\/\-]*\s?DS)\b;BO - Data Services (BODS)
BI Tools;BO - Design Studio;\b(Design\s?[\/\-]*\s?Studio)\b;BO - Design Studio
BI Tools;BO / Business Objects;\b(BO|[Bb]usiness\s[Oo]bjects)\b;BO/Business Objects
BI Tools;Cloud Analytics;\b([Cc]loud\s[Aa]nalytics|[Aa]nalytics\s[Cc]loud)\b;Analytics Cloud
BI Tools;BPC (Outlooksoft);\bBPC\b;BPC (Outlooksoft)
BI Tools;Lumira 2.X;\b[Ll]umira\b;Lumira 2.X
Hybris;Hybris Developer;\b(([Hh]ybris[\/\-\s]?|C4C\s?)[Dd]eveloper)\b;Hybris / C/4 HANA Developer
Hybris;Hybris C4C;\b([Hh]ybris\sC4C|C4C|([Hh]ybris\s?([\/\-]\s?)?)?C\s?[\/\-]?\s?4[\/\-]?\s?(HANA|[Hh]ana))\b;Hybris / C/4 HANA
Hybris;Hybris Commerce;\b([Hh]ybris[\/\-\s]?[Cc]ommerce)\b;Hybris Commerce / Commerce Cloud
Hybris;Hybris Marketing;\b([Hh]ybris[\/\-\s]?[Mm]arketing)\b;Hybris Marketing / Marketing Cloud
Hybris;Hybris Sales;\b([Hh]ybris[\/\-\s]?[Ss]ales)\b;Hybris Sales / Sales Cloud
Financial;CO;\bCO\b;CO
Financial;Concur;\b([Cc]oncur)\b;Concur
Financial;CO-PC;\bCOPC\b;CO-PC
Financial;FI;\b(FI|[Ff]inance)\b;FI
Financial;CI - Convergent Invoicing;\bCI\b;CI - Convergent Invoicing
Financial;FM - Funds Mangement;\bFM\b;FM Funds Mangement
Financial;FSCM - Financial Supply Chain Management;\bF[\/\-\&\s]?SCM\b;FSCM - Financial Supply Chain Management
Financial;JVA (Joint Venture Accounting);\b(JVA|[Jj]oint\s[Vv]enture\s[Aa]ccounting)\b;JVA (Joint Venture Accounting)
Financial;VIM;\bVIM\b;VIM
Financial;Treasury (TR);\b(TRM?|[Tt]reasury)\b;Treasury (TR)
HCM;SuccessFactors;\bSuccess\s?[\/\-\s]?Factors?\b;SuccessFactors
HCM;HCM;\b([Hh]uman[\/\-\s]?[Cc]apital[\/\-\s]?[Mm]anagement|HCM|HR)\b;HCM
HCM;HCM ABAP;\b(HCM[\/\-\s]?([Pp]rogramming|ABAP)|ABAP[\/\-\s]?HR)\b;HCM ABAP
HCM;HCM Payroll;\b(HCM[\/\-\s]?(Payroll|PY|Løn)|Nettol(on|øn))\b;HCM Payroll
